trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",25,0,-60.498401077621935,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-87.58172622204334,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.125}",30,0,-98.48167045014647,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,11,-50.15236987611526,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.03125}",20,0,12.903497794005368,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.015625}",20,0,-13.089770289117226,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",20,0,-81.3611476706202,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",25,0,-78.70933558585735,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",20,0,-46.88821376654736,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,-0.1577970382850642,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",20,8,-27.80312820218213,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,-36.687761353910815,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",30,0,-34.73315956925232,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,0,-128.38535266742306,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",25,0,18.65414525820876,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",25,0,23.566591412181275,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",25,0,15.463989172353136,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",20,12,-27.132530810028406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",25,0,-2.6228011658624313,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",20,0,-61.01019316760589,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-63.47310521636166,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,18.583085215168623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-84.98779302007691,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,37.63591361454991,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-42.35475514578644,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,1.8290092320119,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,16,5.142105110531299,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-33.163971729836355,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-33.689533840133365,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-15.216932500738872,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
